eval_id,x1,y1,x2,y2,x3,y3,angle,objective_value,max_stress,geometry_valid,stress_valid,fem_valid,failure_reason,best_feasible_objective_so_far
145,18.3822668,21.45644316,45.10189685,37.75985413,26.37777547,34.5625164,21.69339033,,,False,False,False,circle 1 to capsule clearance is -1.367 mm; minimum is 1.000 mm,
146,29.96813732,28.09754382,40.12113013,43.0423339,25.68316434,40.28587679,65.21849543,,,False,False,False,capsule edge clearance is 0.865 mm; minimum is 2.000 mm,
147,27.18424221,30.35489397,44.46208229,25.77877902,22.71959703,45.39413778,75.08890563,,,False,False,False,capsule edge clearance is -4.973 mm; minimum is 2.000 mm,
148,37.77831541,20.62469497,39.33731537,28.51320895,22.12939633,24.32560919,5.753546287,,,False,False,False,circle 1 to circle 2 clearance is -6.959 mm; minimum is 1.000 mm,
149,40.11843709,15.4778586,35.4160692,33.9223831,16.57177458,21.64588317,36.89228687,,,False,False,False,capsule edge clearance is -0.925 mm; minimum is 2.000 mm,
150,41.18864342,17.64854538,43.43258489,11.3282007,21.18920982,40.59772954,66.82949251,,,False,False,False,capsule edge clearance is 0.411 mm; minimum is 2.000 mm,
151,41.45638676,47.45617051,13.30750725,46.43879245,28.7285959,28.10201159,23.19181389,,,False,False,False,circle 2 to capsule clearance is 0.478 mm; minimum is 1.000 mm,
152,20.65533221,26.62708762,46.21365266,40.62843388,16.49914044,13.42413448,53.91884519,,,False,False,False,capsule edge clearance is -4.178 mm; minimum is 2.000 mm,
153,28.13981827,32.24995667,42.09659315,26.32097739,47.97449933,25.77716983,33.16053948,,,False,False,False,capsule edge clearance is -5.939 mm; minimum is 2.000 mm,
154,43.26847,44.14538751,18.17179306,22.82762034,17.272304,33.54003521,20.35588153,,,False,False,False,capsule edge clearance is -1.947 mm; minimum is 2.000 mm,
155,40.61352456,39.85862386,48.40402477,32.48183493,43.36488868,44.74351873,78.16471923,,,False,False,False,capsule edge clearance is -4.478 mm; minimum is 2.000 mm,
156,22.91123754,46.6460259,18.7072945,31.79982695,46.5248288,36.13076961,18.71208507,,,False,False,False,capsule edge clearance is -5.864 mm; minimum is 2.000 mm,
157,42.3082812,27.72543421,47.1870673,38.89386743,30.04939252,39.76143964,2.19030349,,,False,False,False,circle 1 to circle 2 clearance is -2.812 mm; minimum is 1.000 mm,
158,24.5215171,37.8354742,44.14023614,12.64199156,17.52012487,30.94459439,67.70907739,,,False,False,False,circle 1 to capsule clearance is -7.408 mm; minimum is 1.000 mm,
159,22.13291343,48.99482899,33.52348122,19.05984449,44.84761544,36.51178397,46.17961349,,,False,False,False,capsule edge clearance is -1.003 mm; minimum is 2.000 mm,
160,34.93212254,30.7453191,39.48262565,19.20588913,38.73017417,46.78864111,61.94902737,,,False,False,False,capsule edge clearance is -5.320 mm; minimum is 2.000 mm,
161,12.3657694,33.71370421,41.19604149,15.21795904,26.16192097,12.94226456,72.3783335,,,False,False,False,capsule edge clearance is -6.471 mm; minimum is 2.000 mm,
162,31.90812441,14.9217492,24.80305639,27.09259031,12.13957536,43.07675303,75.35674808,,,False,False,False,capsule edge clearance is -2.671 mm; minimum is 2.000 mm,
163,24.70559426,38.59323246,49.68113528,20.00345287,39.06022135,31.96073077,79.70160233,,,False,False,False,circle 1 to capsule clearance is -3.562 mm; minimum is 1.000 mm,
